corr,key1,key2,shift,Piece-wise_shift,amplitude_clipping,comment,noise_level,part_of_audio_missing
0.0055015142203660005,EMO_2449_1_0,EMO_2449_2_0,-1.5723125,,,,0.0,
0.146935784910978,EMO_2462_1_0,EMO_2462_2_0,0.04,,,child can hardly be heard,1.0,
0.016467748861343,EMO_2482_1_0,EMO_2482_2_0,-1.513375,,,,1.0,
0.008434664626957,EMO_2485_1_0,EMO_2485_2_0,0.020625,,,,2.0,
0.009318507825371,EMO_2486_1_0,EMO_2486_2_0,-1.4876875,,,parent audio is dead,3.0,p
0.111272795385102,EMO_2519_1_0,EMO_2519_2_0,0.0348125,,,child can hardly be heard,1.0,
0.009980078188885,EMO_2523_1_0,EMO_2523_2_0,0.0364375,,,,2.0,
0.180658087856111,EMO_2556_1_0,EMO_2556_2_0,0.0335625,,,child can hardly be heard,1.0,
0.004198951655973,EMO_2608_1_0,EMO_2608_2_0,-1.536,,,,1.0,
0.015103943194268,EMO_2638_1_0,EMO_2638_2_0,0.042625,,,,0.0,
0.008076862472695,EMO_2659_1_0,EMO_2659_2_0,-1.560875,,,child can hardly be heard,1.0,
0.164971451167303,EMO_2673_1_0,EMO_2673_2_0,0.024375,,,,0.0,
0.481987276818448,EMO_2713_1_0,EMO_2713_2_0,0.0335625,,,,1.0,
0.07076629605188701,EMO_2718_1_0,EMO_2718_2_0,0.029625,,,,1.0,
0.007032635410812,EMO_2730_1_0,EMO_2730_2_0,-1.5316875,,,,1.0,
0.010765375586566,EMO_2731_1_0,EMO_2731_2_0,-1.5793125,,,,1.0,
0.007850134897324,EMO_2739_1_0,EMO_2739_2_0,0.061125,,,,1.0,
0.050506090639400994,EMO_2795_1_0,EMO_2795_2_0,0.054375,,,,1.0,c
0.213909665694947,EMO_2829_1_0,EMO_2829_2_0,0.0290625,,,,1.0,
0.12736504401180002,EMO_2850_1_0,EMO_2850_2_0,0.0465,,,,1.0,
0.017225539422148,EMO_2853_1_0,EMO_2853_2_0,-1.569375,,,,1.0,
0.260032957022457,EMO_2900_1_0,EMO_2900_2_0,0.0451875,,,child can hardly be heard,1.0,
0.416343111230127,EMO_2924_1_0,EMO_2924_2_0,0.0496875,,,,2.0,
0.008928575029879,EMO_2939_1_0,EMO_2939_2_0,-1.5719999999999998,,,,1.0,
0.188364313991224,EMO_3118_1_0,EMO_3118_2_0,0.0318125,,,,0.0,
0.0070817222116019984,EMO_3146_1_0,EMO_3146_2_0,-1.56575,,,,1.0,
0.17829617162068698,EMO_3177_1_0,EMO_3177_2_0,0.05,,,child can hardly be heard,1.0,
0.095814084001452,EMO_3184_1_0,EMO_3184_2_0,0.032,,,,1.0,
0.089832256920487,EMO_3193_1_0,EMO_3193_2_0,0.027000000000000003,,,,1.0,
0.012439955221236,EMO_3243_1_0,EMO_3243_2_0,0.04,,,,3.0,
0.10941204356099,EMO_3244_1_0,EMO_3244_2_0,0.022375,,,,1.0,
0.060212130811716,EMO_3249_1_0,EMO_3249_2_0,0.0355625,,,,1.0,
0.23350698507224896,EMO_3251_1_0,EMO_3251_2_0,0.02375,,,,2.0,
0.103926971321182,EMO_3273_1_0,EMO_3273_2_0,0.0466875,,,,1.0,
0.126013459929869,EMO_3284_1_0,EMO_3284_2_0,0.0369375,,,,1.0,
0.220647496309512,EMO_3313_1_0,EMO_3313_2_0,0.0435,,,,1.0,
